OBJECTID *;species;bg;en;EURING;Code
217;Ficedula albicollis;Беловрата мухоловка;Collared Flycatcher;13480;
218;Ficedula hypoleuca;Жалобна мухоловка;Pied Flycatcher;13490;
219;Ficedula parva;Червеногуша мухоловка;Red-breasted Flycatcher;13430;
220;Ficedula semitorquata;Полубеловрата мухоловка;Semi-collared Flycatcher;13470;ПБМ
221;Francolinus francolinus;;;3640;
222;Fratercula arctica;Тъпоклюна кайра;Atlantic Puffin;6540;
223;Fringilla coelebs;Обикновена чинка;Chaffinch;16360;ОЧ
224;Fringilla montifringilla;Планинска чинка;Brambling;16380;
225;Fringilla teydea;;;16370;
226;Fulica atra;Лиска;Common Coot;4290;Л
227;Fulica cristata;;;4310;
228;Fulmarus glacialis;Фулмар;Fulmar;220;
229;Galerida cristata;Качулата чучулига;Crested Lark;9720;КЧ
230;Galerida theklae;Текла;Thekla Lark;9730;
231;Gallinago gallinago;Средна бекасина;Common Snipe;5190;
232;Gallinago media;Голяма бекасина;Great Snipe;5200;
233;Gallinago stenura;;;5210;
234;Gallinula chloropus;Зеленоножка;Common Moorhen;4240;ЗН
235;Garrulus glandarius;Сойка;Jay;15390;СА
236;Gavia adamsii;Жълтоклюн гмуркач;White-billed Diver;50;
237;Gavia arctica;Черногуш гмуркач;Black-throated Diver;30;
238;Gavia immer;Черноклюн гмуркач;Great Northern Diver;40;
239;Gavia stellata;Червеногуш гмуркач;Red-throated Diver;20;
240;Gelochelidon nilotica;Дебелоклюна рибарка;Gull-billed Tern;6050;
241;Geronticus eremita;Плешив ибис;Bald Ibis;1400;
242;Glareola nordmanni;Чернокрил огърличник;Black-winged Pratincole;4670;
243;Glareola pratincola;Кафявокрил огърличник;Collared Pratincole;4650;
244;Glaucidium passerinum;Врабчова кукумявка;Pygmy Owl;7510;
245;Grus grus;Сив жерав;Common Crane;4330;
246;Gypaetus barbatus;Брадат лешояд;Lammergeier;2460;
247;Gyps fulvus;Белоглав лешояд;Griffon Vulture;2510;
248;Haematopus moquini;;;4530;
249;Haematopus ostralegus;Стридояд;Eurasian Oystercatcher;4500;
250;Halcyon smyrnensis;Белогърдо земеродно рибарче;White-breasted kingfisher;8270;
251;Haliaeetus albicilla;Морски орел;White-tailed Eagle;2430;
252;Hieraaetus fasciatus;Ястребов орел;Bonelli’s Eagle;2990;
253;Hieraaetus pennatus;Малък орел;Booted Eagle;2980;
254;Himantopus himantopus;Кокилобегач;Black-winged Stilt;4550;
255;Hippolais icterina;Градински присмехулник;Icterine Warbler;12590;
256;Hippolais languida;Пустинен присмехулник;Upcher's Warbler ;12570;
257;Hippolais olivetorum;Голям маслинов присмехулник;Olive-tree Warbler;12580;
258;Hippolais pallida;Малък маслинов присмехулник;Olivaceous Warbler;12550;ММП
259;Hippolais polyglotta;Бъбрив присмехулник;Melodious Warbler;12600;
260;Hirundo daurica;Червенокръста лястовица;Red-rumped Swallow;9950;ЧЛ
261;Hirundo rustica;Селска лястовица;Swallow;9920;СЛ
262;Histrionicus histrionicus;;;2110;
263;Hoplopterus indicus;;;4900;
264;Hoplopterus spinosus;Шипокрила калугерица;Spur-winged Lapwing;4870;
265;Hydrobates pelagicus;Европейска вълнолюбка;European Storm Petrel;520;
266;Irania gutturalis;;;11170;
267;Ixobrychus minutus;Малък воден бик;Little Bittern;980;MВБ
268;Jynx torquilla;Въртошийка;Wryneck;8480;
269;Ketupa zeylonensis;;;7470;
270;Lagopus lagopus;;;3290;
271;Lagopus mutus;;;3300;
272;Lanius collurio;Червеногърба сврачка;Red-backed Shrike;15150;ЧС
273;Lanius excubitor;Сива сврачка;Great Grey Shrike;15200;
274;Lanius minor;Черночела сврачка;Lesser Grey Shrike;15190;ЧСВ
275;Lanius nubicus;Белочела сврачка;Masked Shrike;15240;
276;Lanius senator;Червеноглава сврачка;Woodchat Shrike;15230;ЧГС
277;Larus argentatus;Сребриста чайка;European Herring Gull;5920;
278;Larus audouinii;Средиземноморската чайка;Audouin's Gull ;5880;
279;Larus canus;Чайка буревестница;Common Gull ;5900;
280;Larus delawarensis;Пръстенчатоклюна чайка;Ring-billed Gull;5890;
281;Larus fuscus;Малката черногърба чайка;Lesser Black-backed Gull ;5910;
282;Larus genei;Дългоклюна чайка;Slender-billed Gull;5850;
283;Larus glaucoides;Малка белокрила чайка;Iceland Gull;5980;
284;Larus hyperboreus;Голяма белокрила чайка;Glaucous Gull ;5990;
285;Larus ichthyaetus;Голяма черноглава чайка;Great Black-headed Gull;5730;
286;Larus marinus;Голяма черногърба чайка;Great Black-backed Gull ;6000;
287;Larus melanocephalus;Малката черноглава чайка;Mediterranean Gull;5750;
288;Larus minutus;Малка чайка;Little Gull;5780;
289;Larus relictus;Реликтна чайка;Relict Gull;5740;
290;Larus ridibundus;Речна чайка;Black-headed Gull;5820;РЧ
291;Larus sabini;Вилоопашата чайка;Sabine's Gull;5790;
292;Limicola falcinellus;Блатобегач;Broad-billed Sandpiper;5140;
293;Limnodromus scolopaceus;Берингов вретенач;;5270;
294;Limosa lapponica;Пъстроопашат крайбрежен бекас;Bar-tailed Godwit;5340;
295;Limosa limosa;Черноопашат крайбрежен бекас;Black-tailed Godwit;5320;
296;Locustella fluviatilis;Речен цвъркач;River Warbler;12370;
297;Locustella lanceolata;;;12350;
298;Locustella luscinioides;Тръстиков цвъркач;Savi's Warbler;12380;
299;Locustella naevia;Полски цвъркач;Common Grasshopper Warbler;12360;
300;Loxia curvirostra;Обикновена кръсточовка;Crossbill;16660;
