OBJECTID_1 *;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto
5926;FM7555;заети площадки;Благоевград;Blagoevgrad;Дъбрава;село;Dabrava;village
5927;FM7610;заети площадки;Кочериново;Kocherinovo;Бараково;село;Barakovo;village
5928;FM8685;заети площадки;Рила;Rila;Рилски манастир;манастир;Rilski manastir;monastery
5929;FM9658;заети площадки;Рила;Rila;Рилски манастир;манастир;Rilski manastir;monastery
5930;GM4774;заети площадки;Белово;Belovo;Белово;село;Belovo;village
5931;FM2890;заети площадки;Кюстендил;Kyustendil;Вратца;село;Vrattsa;village
5932;GM0871;заети площадки;Самоков;Samokov;Мала църква;село;Mala tsarkva;village
5933;GM2866;заети площадки;Долна баня;Dolna banya;Долна баня;град;Dolna banya;town
5934;FM7897;заети площадки;Дупница;Dupnitza;Крайници;село;Kraynitsi;village
5935;FM3950;заети площадки;Кюстендил;Kyustendil;Драговищица;село;Dragovishtitsa;village
5936;FM9942;заети площадки;Самоков;Samokov;Белчин;село;Belchin;village
5937;FM9963;заети площадки;Самоков;Samokov;Алино;село;Alino;village
5938;FM9984;заети площадки;Самоков;Samokov;Алино;село;Alino;village
5939;FM9955;заети площадки;Самоков;Samokov;Алино;село;Alino;village
5940;FM9916;заети площадки;Самоков;Samokov;Поповяне;село;Popovyane;village
5941;GM0987;заети площадки;Самоков;Samokov;Злокучене;село;Zlokuchene;village
5942;FM5929;заети площадки;Радомир;Radomir;Дебели лаг;село;Debeli lag;village
5943;FM6929;заети площадки;Радомир;Radomir;Кондофрей;село;Kondofrey;village
5944;GM0999;заети площадки;Самоков;Samokov;Злокучене;село;Zlokuchene;village
5945;FN5070;заети площадки;Радомир;Radomir;Кленовик;село;Klenovik;village
5946;FN6092;заети площадки;Радомир;Radomir;Друган;село;Drugan;village
5947;FN6016;заети площадки;Радомир;Radomir;Радомир;град;Radomir;town
5948;FN6086;заети площадки;Радомир;Radomir;Друган;село;Drugan;village
5949;FN5130;заети площадки;Ковачевци;Kovachevtzi;Калище;село;Kalishte;village
5950;FN9151;заети площадки;Столична;Stolichna;Железница;село;Zheleznitsa;village
5951;FN6123;заети площадки;Радомир;Radomir;Радомир;град;Radomir;town
5952;FN8163;заети площадки;Перник;Pernik;Чуйпетлово;село;Chuypetlovo;village
5953;FN9153;заети площадки;Столична;Stolichna;Кокаляне;село;Kokalyane;village
5954;FN5114;заети площадки;Ковачевци;Kovachevtzi;Косача;село;Kosacha;village
5955;FN5144;заети площадки;Ковачевци;Kovachevtzi;Косача;село;Kosacha;village
5956;FN7144;заети площадки;Перник;Pernik;Студена;село;Studena;village
5957;GN0154;заети площадки;Столична;Stolichna;Долни Пасарел;село;Dolni Pasarel;village
5958;GN2144;заети площадки;Ихтиман;Ihtiman;Бузяковци;село;Buzyakovtsi;village
5959;FN9145;заети площадки;Столична;Stolichna;Бистрица;село;Bistritsa;village
5960;FN9185;заети площадки;Столична;Stolichna;Кокаляне;село;Kokalyane;village
5961;FN4186;заети площадки;Ковачевци;Kovachevtzi;Светля;село;Svetlya;village
5962;FN9166;заети площадки;Столична;Stolichna;Кокаляне;село;Kokalyane;village
5963;GN0126;заети площадки;Столична;Stolichna;София;град;Sofia;town
