OBJECTID;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
3332;MH6191;незаети площадки;Стралджа;Straldja;Зимница;село;Zimnitsa;village;Ямбол;Yambol;30898;26.606894;42.579176;ЗИМНИЦАСТРАЛДЖА
3333;MH7191;незаети площадки;Стралджа;Straldja;Воденичане;село;Vodenichane;village;Ямбол;Yambol;11661;26.69287;42.546378;ВОДЕНИЧАНЕСТРАЛДЖА
3334;NH0151;незаети площадки;Карнобат;Karnobat;Детелина;село;Detelina;village;Бургас;Burgas;2765;27.035682;42.557933;ДЕТЕЛИНАКАРНОБАТ
3335;NH2101;незаети площадки;Камено;Kameno;Камено;село;Kameno;village;Бургас;Burgas;35883;27.290669;42.569789;КАМЕНОКАМЕНО
3336;NH3141;незаети площадки;Бургас;Burgas;Бургас;град;Burgas;town;Бургас;Burgas;7079;27.470179;42.502965;БУРГАСБУРГАС
3337;KH6132;незаети площадки;Панагюрище;Panagyurishte;Оборище;село;Oborishte;village;Пазарджик;Pazardjik;53103;24.076981;42.515634;ОБОРИЩЕПАНАГЮРИЩЕ
3338;KH7152;незаети площадки;Панагюрище;Panagyurishte;Панагюрище;град;Panagyurishte;town;Пазарджик;Pazardjik;55302;24.180243;42.502624;ПАНАГЮРИЩЕПАНАГЮРИЩЕ
3339;KH9152;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3340;KH9172;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3341;LH3192;незаети площадки;Павел баня;Pavel banya;Осетеново;село;Osetenovo;village;СтараЗагора;StaraZagora;54153;25.031998;42.601957;ОСЕТЕНОВОПАВЕЛБАНЯ
3342;LH5192;незаети площадки;Казанлък;Kazanlak;Горно Черковище;село;Gorno Cherkovishte;village;СтараЗагора;StaraZagora;49076;25.315177;42.574937;ГОРНОЧЕРКОВИЩЕКАЗАНЛЪК
3343;LH9142;незаети площадки;Николаево;Nikolaevo;Елхово;село;Elhovo;village;СтараЗагора;StaraZagora;48163;25.748014;42.575723;ЕЛХОВОНИКОЛАЕВО
3344;MH4102;незаети площадки;Сливен;Sliven;Ковачите;село;Kovachite;village;Сливен;Sliven;37530;26.224481;42.571239;КОВАЧИТЕСЛИВЕН
3345;MH5142;незаети площадки;Сливен;Sliven;Желю войвода;село;Zhelyu voyvoda;village;Сливен;Sliven;29194;26.482684;42.594128;ЖЕЛЮВОЙВОДАСЛИВЕН
3346;MH6192;незаети площадки;Стралджа;Straldja;Зимница;село;Zimnitsa;village;Ямбол;Yambol;30898;26.606894;42.579176;ЗИМНИЦАСТРАЛДЖА
3347;MH9162;незаети площадки;Карнобат;Karnobat;Крумово градище;село;Krumovo gradishte;village;Бургас;Burgas;40021;26.928665;42.610332;КРУМОВОГРАДИЩЕКАРНОБАТ
3348;KH5193;незаети площадки;Панагюрище;Panagyurishte;Оборище;село;Oborishte;village;Пазарджик;Pazardjik;53103;24.076981;42.515634;ОБОРИЩЕПАНАГЮРИЩЕ
3349;KH8143;незаети площадки;Стрелча;Strelcha;Стрелча;град;Strelcha;town;Пазарджик;Pazardjik;69835;24.321545;42.503367;СТРЕЛЧАСТРЕЛЧА
3350;LH0153;незаети площадки;Хисаря;Hisarya;Хисаря;град;Hisarya;town;Пловдив;Plovdiv;77270;24.703274;42.50247;ХИСАРЯХИСАРЯ
3351;LH5163;незаети площадки;Казанлък;Kazanlak;Горно Черковище;село;Gorno Cherkovishte;village;СтараЗагора;StaraZagora;49076;25.315177;42.574937;ГОРНОЧЕРКОВИЩЕКАЗАНЛЪК
3352;LH6183;незаети площадки;Казанлък;Kazanlak;Розово;село;Rozovo;village;СтараЗагора;StaraZagora;62983;25.416037;42.565657;РОЗОВОКАЗАНЛЪК
3353;LH9163;незаети площадки;Николаево;Nikolaevo;Елхово;село;Elhovo;village;СтараЗагора;StaraZagora;48163;25.748014;42.575723;ЕЛХОВОНИКОЛАЕВО
3354;MH3193;незаети площадки;Сливен;Sliven;Ковачите;село;Kovachite;village;Сливен;Sliven;37530;26.224481;42.571239;КОВАЧИТЕСЛИВЕН
3355;MH8113;незаети площадки;Стралджа;Straldja;Маленово;село;Malenovo;village;Ямбол;Yambol;46303;26.783147;42.5588;МАЛЕНОВОСТРАЛДЖА
3356;MH8123;незаети площадки;Карнобат;Karnobat;Деветак;село;Devetak;village;Бургас;Burgas;20417;26.825364;42.573735;ДЕВЕТАККАРНОБАТ
3357;NH0133;незаети площадки;Карнобат;Karnobat;Детелина;село;Detelina;village;Бургас;Burgas;2765;27.035682;42.557933;ДЕТЕЛИНАКАРНОБАТ
3358;NH2123;незаети площадки;Камено;Kameno;Камено;село;Kameno;village;Бургас;Burgas;35883;27.290669;42.569789;КАМЕНОКАМЕНО
3359;NH5103;незаети площадки;Поморие;Pomorie;Поморие;град;Pomorie;town;Бургас;Burgas;57491;27.640546;42.556907;ПОМОРИЕПОМОРИЕ
3360;LH0114;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3361;LH1124;незаети площадки;Карлово;Karlovo;Войнягово;село;Voynyagovo;village;Пловдив;Plovdiv;12005;24.755277;42.573602;ВОЙНЯГОВОКАРЛОВО
3362;LH1144;незаети площадки;Карлово;Karlovo;Войнягово;село;Voynyagovo;village;Пловдив;Plovdiv;12005;24.755277;42.573602;ВОЙНЯГОВОКАРЛОВО
3363;LH6164;незаети площадки;Казанлък;Kazanlak;Бузовград;село;Buzovgrad;village;СтараЗагора;StaraZagora;6848;25.371316;42.581861;БУЗОВГРАДКАЗАНЛЪК
3364;LH8154;незаети площадки;Мъглиж;Maglizh;Юлиево;село;Yulievo;village;СтараЗагора;StaraZagora;86043;25.60667;42.56581;ЮЛИЕВОМЪГЛИЖ
3365;MH1164;незаети площадки;Нова Загора;Nova Zagora;Баня;село;Banya;village;Сливен;Sliven;2734;25.990467;42.60616;БАНЯНОВАЗАГОРА
3366;MH3164;незаети площадки;Сливен;Sliven;Ковачите;село;Kovachite;village;Сливен;Sliven;37530;26.224481;42.571239;КОВАЧИТЕСЛИВЕН
3367;MH3194;незаети площадки;Сливен;Sliven;Ковачите;село;Kovachite;village;Сливен;Sliven;37530;26.224481;42.571239;КОВАЧИТЕСЛИВЕН
3368;MH6154;незаети площадки;Сливен;Sliven;Драгоданово;село;Dragodanovo;village;Сливен;Sliven;23337;26.566207;42.632892;ДРАГОДАНОВОСЛИВЕН
3369;MH9104;незаети площадки;Карнобат;Karnobat;Церковски;село;Tserkovski;village;Бургас;Burgas;78416;26.876018;42.611423;ЦЕРКОВСКИКАРНОБАТ
3370;NH0194;незаети площадки;Камено;Kameno;Вратица;село;Vratitsa;village;Бургас;Burgas;12245;27.161125;42.589508;ВРАТИЦАКАМЕНО
3371;NH1114;незаети площадки;Камено;Kameno;Вратица;село;Vratitsa;village;Бургас;Burgas;12245;27.161125;42.589508;ВРАТИЦАКАМЕНО
3372;NH2154;незаети площадки;Камено;Kameno;Камено;село;Kameno;village;Бургас;Burgas;35883;27.290669;42.569789;КАМЕНОКАМЕНО
3373;KH5175;незаети площадки;Панагюрище;Panagyurishte;Оборище;село;Oborishte;village;Пазарджик;Pazardjik;53103;24.076981;42.515634;ОБОРИЩЕПАНАГЮРИЩЕ
3374;KH6175;незаети площадки;Панагюрище;Panagyurishte;Панагюрище;град;Panagyurishte;town;Пазарджик;Pazardjik;55302;24.180243;42.502624;ПАНАГЮРИЩЕПАНАГЮРИЩЕ
3375;KH7195;незаети площадки;Стрелча;Strelcha;Стрелча;град;Strelcha;town;Пазарджик;Pazardjik;69835;24.321545;42.503367;СТРЕЛЧАСТРЕЛЧА
3376;KH9105;незаети площадки;Хисаря;Hisarya;Кръстевич;село;Krastevich;village;Пловдив;Plovdiv;40333;24.434103;42.482022;КРЪСТЕВИЧХИСАРЯ
3377;LH2165;незаети площадки;Карлово;Karlovo;Ведраре;село;Vedrare;village;Пловдив;Plovdiv;10291;24.878648;42.574448;ВЕДРАРЕКАРЛОВО
3378;LH3145;незаети площадки;Карлово;Karlovo;Калофер;град;Kalofer;town;Пловдив;Plovdiv;35496;24.974847;42.611157;КАЛОФЕРКАРЛОВО
3379;LH6175;незаети площадки;Казанлък;Kazanlak;Бузовград;село;Buzovgrad;village;СтараЗагора;StaraZagora;6848;25.371316;42.581861;БУЗОВГРАДКАЗАНЛЪК
3380;LH9175;незаети площадки;Николаево;Nikolaevo;Елхово;село;Elhovo;village;СтараЗагора;StaraZagora;48163;25.748014;42.575723;ЕЛХОВОНИКОЛАЕВО
3381;MH0175;незаети площадки;Гурково;Gurkovo;Паничерево;село;Panicherevo;village;СтараЗагора;StaraZagora;22767;25.85008;42.603209;ПАНИЧЕРЕВОГУРКОВО
3382;MH2135;незаети площадки;Твърдица;Tvarditza;Сърцево;село;Sartsevo;village;Сливен;Sliven;70679;26.066555;42.60561;СЪРЦЕВОТВЪРДИЦА
3383;MH4155;незаети площадки;Сливен;Sliven;Самуилово;село;Samuilovo;village;Сливен;Sliven;65303;26.324038;42.591259;САМУИЛОВОСЛИВЕН
3384;MH8175;незаети площадки;Карнобат;Karnobat;Деветак;село;Devetak;village;Бургас;Burgas;20417;26.825364;42.573735;ДЕВЕТАККАРНОБАТ
3385;NH0155;незаети площадки;Карнобат;Karnobat;Козаре;село;Kozare;village;Бургас;Burgas;37650;27.047596;42.606624;КОЗАРЕКАРНОБАТ
3386;NH1145;незаети площадки;Камено;Kameno;Вратица;село;Vratitsa;village;Бургас;Burgas;12245;27.161125;42.589508;ВРАТИЦАКАМЕНО
3387;NH2105;незаети площадки;Бургас;Burgas;Българово;град;Balgarovo;town;Бургас;Burgas;7332;27.305885;42.620101;БЪЛГАРОВОБУРГАС
3388;NH3135;незаети площадки;Бургас;Burgas;Ветрен;село;Vetren;village;Бургас;Burgas;29427;27.38434;42.604318;ВЕТРЕНБУРГАС
3389;NH4155;незаети площадки;Поморие;Pomorie;Поморие;град;Pomorie;town;Бургас;Burgas;57491;27.640546;42.556907;ПОМОРИЕПОМОРИЕ
3390;KH8146;незаети площадки;Стрелча;Strelcha;Стрелча;град;Strelcha;town;Пазарджик;Pazardjik;69835;24.321545;42.503367;СТРЕЛЧАСТРЕЛЧА
3391;LH1166;незаети площадки;Карлово;Karlovo;Войнягово;село;Voynyagovo;village;Пловдив;Plovdiv;12005;24.755277;42.573602;ВОЙНЯГОВОКАРЛОВО
3392;LH4166;незаети площадки;Павел баня;Pavel banya;Александрово;село;Aleksandrovo;village;СтараЗагора;StaraZagora;309;25.095082;42.597743;АЛЕКСАНДРОВОПАВЕЛБАНЯ
3393;LH5136;незаети площадки;Павел баня;Pavel banya;Павел баня;град;Pavel banya;town;СтараЗагора;StaraZagora;55021;25.209543;42.594982;ПАВЕЛБАНЯПАВЕЛБАНЯ
3394;LH6136;незаети площадки;Казанлък;Kazanlak;Горно Черковище;село;Gorno Cherkovishte;village;СтараЗагора;StaraZagora;49076;25.315177;42.574937;ГОРНОЧЕРКОВИЩЕКАЗАНЛЪК
3395;LH7146;незаети площадки;Казанлък;Kazanlak;Черганово;село;Cherganovo;village;СтараЗагора;StaraZagora;80532;25.469983;42.584943;ЧЕРГАНОВОКАЗАНЛЪК
3396;LH8126;незаети площадки;Мъглиж;Maglizh;Мъглиж;град;Maglizh;town;СтараЗагора;StaraZagora;49494;25.547519;42.606776;МЪГЛИЖМЪГЛИЖ
3397;LH8166;незаети площадки;Мъглиж;Maglizh;Дъбово;село;Dabovo;village;СтараЗагора;StaraZagora;24342;25.636638;42.595308;ДЪБОВОМЪГЛИЖ
3398;LH9116;незаети площадки;Мъглиж;Maglizh;Ветрен;село;Vetren;village;СтараЗагора;StaraZagora;10848;25.690892;42.606526;ВЕТРЕНМЪГЛИЖ
3399;MH0186;незаети площадки;Нова Загора;Nova Zagora;Баня;село;Banya;village;Сливен;Sliven;2734;25.990467;42.60616;БАНЯНОВАЗАГОРА
3400;MH1136;незаети площадки;Нова Загора;Nova Zagora;Баня;село;Banya;village;Сливен;Sliven;2734;25.990467;42.60616;БАНЯНОВАЗАГОРА
3401;MH2166;незаети площадки;Нова Загора;Nova Zagora;Научене;село;Nauchene;village;Сливен;Sliven;51161;26.08945;42.564772;НАУЧЕНЕНОВАЗАГОРА
