type;la;bg
plants;Sisymbrium polymorphum*;Изменчива мъдрица
plants;Sium sisarum*;Теснолистен ручейник
plants;Soldanella chrysostricta*;Унгарско крайснежно звънче
plants;Soldanella pirinica*;Пиринско крайснежно звънче
plants;Sonchus palustris*;Блатен спореж
plants;Sparganium angustifolium*;Теснолистна ежова главица
plants;Sparganium minimum*;Малка ежова главица
plants;Spiraea crenata*;Нарязанолистен тъжник
plants;Spiraea hypericifolia*;Звънколистен тъжник
plants;Spiraea salicifolia*;Върболистен тъжник
plants;Spiranthes spiralis*;Есенен спиралник
plants;Stachys arenariaeformis*;Пясъчен ранилист
plants;Stachys balcanica*;Балкански ранилист
plants;Stachys maritima*;Приморски ранилист
plants;Stachys scardica*;Шарпланински ранилист
plants;Stefanoffia daucoides*;Морковидна стефанофия
plants;Stratiotes aloides*;Алоевиден стратиотес
plants;Subularia aquatica*;Водна шилолистка
plants;Sueda heterophylla*;Разнолистна суеда
plants;Swertia punctata*;Петниста сверция
plants;Taxus baccata*;Обикновен тис
plants;Teucrium botrys*;Едногодишно подъбиче
plants;Teucrium lamifolium*;Странджанско подъбиче
plants;Thalictrum foetidum*;Вонящо обичниче
plants;Theligonum cynocrambe*;Телигониум
plants;Thelypteris palustris*;Блатен телиптерис
plants;Thymus bracteosus*;Прицветникова мащерка
plants;Thymus perinicus*;Пиринска мащерка
plants;Thymus stojanovi*;Стоянова мащерка
plants;Tozzia alpina subsp. carpathica (= Tozzia carpathica)*;Карпатска тоция
plants;Trachelium rumelianum (= Trachelium jacquinii)*;Румелийски трахелиум
plants;Trachomitum venetum*;Синя тойна
plants;Tragopogon floccosus*;Вълнеста козя брада
plants;Tragopogon stribrnyi*;Стрибърнова козя брада
plants;Trapa natans*;Дяволски орех
plants;Traunsteinera globosa (= Orchis globosa)*;Кълбеста траунстейнера
plants;Triglochin maritima*;Приморски триостреник
plants;Trinia glauca subsp. carniolica*;Синкава триния
plants;Trollius europaeus*;Витошко лале
plants;Tulipa aureolina*;Златисто лале
plants;Tulipa australis*;Южно лале
plants;Tulipa pirinica*;Пиринско лале
plants;Tulipa rhodopaea*;Родопско лале
plants;Tulipa splendens*;Блестящо лале
plants;Tulipa thracica (= Tulipa hageri)*;Тракийско лале
plants;Tulipa urumoffii*;Урумово лале
plants;Turgeniopsis foeniculacea*;Тургениопсис
plants;Typha shuttleworthii*;Шутлевортиев папур
plants;Urospermum picroides*;Пикровиден уроспермум
plants;Utricularia australis (= Utricularia neglecta)*;Южна мехурка
plants;Utricularia minor*;Дребна мехурка
plants;Vaccinium arctostaphyllos*;Кавказка боровинка
plants;Valeriana simplicifolia*;Цялолистна дилянка
plants;Verbascum adrianopolitanum*;Одрински лопен
plants;Verbascum anisophyllum*;Анасонов лопен
plants;Verbascum boevae*;Боев лопен
plants;Verbascum bugulifolium*;Винчелистен лопен
plants;Verbascum davidoffii*;Давидов лопен
plants;Verbascum decorum*;Декоративен лопен
plants;Verbascum dieckianum*;Диекианов лопен
plants;Verbascum eriophorum*;Пушицов лопен
plants;Verbascum jankaeanum*;Янкев лопен
plants;Verbascum jordanovii*;Йорданов лопен
plants;Verbascum juruk*;Юрушки лопен
plants;Verbascum lagurus*;Лагуров лопен
plants;Verbascum minutiflorum*;Дребноцветен лопен
plants;Verbascum pseudonobile*;Лъжеблагороден лопен
plants;Verbascum purpureum*;Пурпурен лопен
plants;Verbascum rupestre*;Скален лопен
plants;Verbascum spathulisepalum*;Родопски лопен
plants;Verbascum thracicum*;Тракийски лопен
plants;Verbascum tzar-borisii*;Цар Борисов лопен
plants;Verbascum urumovii*;Урумов лопен
plants;Veronica baumgartenii*;Баумгартеново великденче
plants;Veronica euxina*;Черноморско великденче
plants;Veronica glauca*;Сиво великденче
