type;la;bg
plants;Pinus peuce;Бяла мура
plants;Pinus sylvestris;Бял бор
plants;Piptatherum virescens;Зеленикава оризовка
plants;Pistacia terebinthus;Кукуч
plants;Plantago altissima;Висок живовлек, жиловлек
plants;Plantago atrata;Тъмен живовлек, жиловлек
plants;Plantago bellardii;Белардиев живовлек, жиловлек
plants;Plantago cornutii;Рогат живовлек, жиловлек
plants;Plantago coronopus;Перестолистен живовлек, жиловлек
plants;Plantago gentianoides;Тинтявов живовлек, жиловлек
plants;Plantago lagopus;Мъхест живовлек, жиловлек
plants;Plantago lanceolata;Ланцетолистен живовлек, жиловлек
plants;Plantago major;Голям живовлек, жиловлек
plants;Plantago media;Среден живовлек, жиловлек
plants;Plantago scabra;Пясъчен живовлек, жиловлек
plants;Plantago subulata;Гребенест живовлек, жиловлек
plants;Plantago tenuiflora;Рядкоцветен живовлек, жиловлек
plants;Platanthera chlorantha;Зеленоцветна кукувича опашка
plants;Platanus orientalis;Източен чинар
plants;Poa aitosensis;Айтоска ливадина
plants;Poa alpina;Алпийска ливадина
plants;Poa angustifolia;Теснолистна ливадина
plants;Poa annua;Едногодишна ливадина
plants;Poa badensis;Баденска ливадина
plants;Poa bulbosa;Луковична ливадина
plants;Poa cenisia subsp. contracta;Ценизка ливадина
plants;Poa compressa;Сплескана ливадина
plants;Poa laxa;Рехава ливадина
plants;Poa macedonica;Македонска ливадина
plants;Poa media;Средна ливадина
plants;Poa molinerii;Молинерова ливадина
plants;Poa nemoralis;Горска ливадина
plants;Poa palustris;Мочурна ливадина
plants;Poa perconcinna;Южноевропейска ливадина
plants;Poa pirinica;Пиринска ливадина
plants;Poa pratensis;Ливадна ливадина
plants;Poa sylvicola;Броеничеста ливадина
plants;Poa trivialis;Обикновена ливадина
plants;Polygala comosa;Качулеста телчарка
plants;Polygala major;Голяма телчарка
plants;Polygala monspeliaca;Монпелийска телчарка
plants;Polygala rhodopea;Родопска телчарка
plants;Polygala supina;Пълзяща телчарка
plants;Polygala vulgaris;Обикновена телчарка
plants;Polygonatum latifolium;Широколистна момкова сълза
plants;Polygonatum odoratum;Миризлива момкова сълза
plants;Polygonatum verticillatum;Прешленеста момкова сълза
plants;Polygonum arenastrum;Пясъчна пача трева
plants;Polygonum aviculare;Обикновена пача трева
plants;Polygonum maritimum;Морска пача трева
plants;Polygonum mesembricum;Месемврийска пача трева
plants;Polygonum pulchellum;Красива пача трева
plants;Polypodium cambricum;Камбрийска сладка папрат
plants;Polypodium vulgare;Обикновена сладка папрат
plants;Polypogon monspeliensis;Монпелийски полипогон
plants;Polypogon viridis (= Agrostis verticillata);Зеленикав полипогон
plants;Polystichum lonchitis ;Копиевиден многоредник
plants;Polystichum setiferum;Четинест многоредник
plants;Populus alba;Бяла топола
plants;Populus canescens;Сива топола
plants;Populus nigra;Черна топола
plants;Populus tremula;Трепетлика
plants;Portulaca oleracea;Тученица
plants;Potamogeton crispus;Къдрав ръждавец
plants;Potamogeton gramineus;Треволистен ръждавец
plants;Potamogeton lucens;Блестящ ръждавец
plants;Potamogeton natans;Плаващ ръждавец
plants;Potamogeton nodosus;Възловат ръждавец
plants;Potamogeton pectinatus;Гребеновиден ръждавец
plants;Potamogeton perfoliatus;Стъблеобхващащ ръждавец
plants;Potamogeton praelongus;Дълъг ръждавец
plants;Potamogeton pusillus;Дребен ръждавец
plants;Potentilla anserina;Гъши очиболец
plants;Potentilla apennina subsp. stojanovii;Апениски очиболец
plants;Potentilla argentea;Сребристолистен очиболец
plants;Potentilla astracanica;Астраханов очиболец
plants;Potentilla bornmuelleri;Борнмюлеров очиболец
plants;Potentilla cinerea;Пепелявосив очиболец
plants;Potentilla crantzii;Кранциев очиболец
plants;Potentilla erecta;Изправен очиболец
plants;Potentilla haynaldiana;Хайналдиев очиболец
plants;Potentilla laciniosa;Наделен очиболец
plants;Potentilla micrantha;Дребноцветен очиболец
plants;Potentilla neglecta;Белезникав очиболец
plants;Potentilla pedata;Стъпаловиден очиболец
plants;Potentilla pilosa;Влакнест очиболец
plants;Potentilla recta agg.;Прав очиболец
plants;Potentilla regis-borisii;Български очиболец
plants;Potentilla reptans;Пълзящ очиболец
plants;Potentilla rupestris;Скалист очиболец
plants;Potentilla supina;Лежащ очиболец
plants;Potentilla ternata;Трилистен очиболец
plants;Prenanthes purpurea;Пурпурен пренантес
plants;Primula elatior;Висока иглика
plants;Primula farinosa;Розова иглика
plants;Primula minima;Малка иглика
plants;Primula veris;Лечебна иглика
plants;Primula vulgaris subsp. vulgaris;Безстъблена иглика
plants;Prunella vulgaris;Обикновена пришница
plants;Prunus cerasifera;Джанка
plants;Prunus domestica subsp. insititia;Трънкослива
plants;Prunus padus;Песъкиня
plants;Prunus spinosa;Трънка
plants;Pseudolysimachion longifolium (= Veronica longifolia);Дълголистен степник
plants;Pseudolysimachion orchideum (= Veronica orchidea);Салепов степник
plants;Pseudolysimachion spurium (= Veronica spuria);Метлицовиден степник
plants;Pseudorchis albida;Белезникав лъжесалеп
plants;Pseudorchis frivaldii;Фривалдиев лъжесалеп
plants;Psilurus incurvus;Крив псилурус
plants;Pteridium aquilinum;Обикновена орлова папрат
plants;Pterocephalus papposus;Переста крилоглавка
plants;Puccinellia convoluta;Сбит изворник
plants;Puccinellia distans;Разперен изворник
plants;Puccinellia limosa;Тинест изворник
plants;Pulicaria dysenterica;Блъшница
plants;Pulicaria vulgaris;Обикновена блъшница, шумкавиче
plants;Pulmonaria mollis;Мека медуница
plants;Pulmonaria obscura;Тъмна медуница
plants;Pulmonaria officinalis;Лечебна медуница
plants;Pulmonaria rubra;Червена медуница
plants;Pulsatilla montana;Планинско котенце
plants;Pyracantha coccinea;Червена пираканта
plants;Pyrola chlorantha;Бледозелена мурава
plants;Pyrola media;Средна мурава
plants;Pyrola minor;Малка мурава
plants;Pyrus amygdaliformis;Бадемовидна круша
plants;Pyrus elaeagrifolia;Маслинолистна круша
plants;Pyrus pyraster;Дива трънлива круша
plants;Quercus cerris;Цер
plants;Quercus dalechampii;Обикновен горун
plants;Quercus frainetto;Благун
plants;Quercus hartwissiana;Странджански дъб
plants;Quercus pedunculiflora;Дръжкоцветен дъб
plants;Quercus petraea;Скален дъб
plants;Quercus polycarpa;Източен горун
plants;Quercus protoroburoides;Рилски дъб
plants;Quercus pubescens;Космат дъб
plants;Quercus robur;Летен дъб
plants;Quercus virgiliana;Виргилиев дъб
plants;Queria hispanica;Испанска кверия
plants;Ranunculus acris;Обикновено лютиче
plants;Ranunculus aquatilis;Водно лютиче
plants;Ranunculus carinthiacus;Хърватско лютиче
plants;Ranunculus constantinopolitanus;Цариградско лютиче
plants;Ranunculus crenatus;Назъбенолистно лютиче
plants;Ranunculus incomparabilis;Несравнимо лютиче
plants;Ranunculus montanus;Планинско лютиче
plants;Ranunculus penicillatus;Лъжеплаващо лютиче
plants;Ranunculus platanifolius;Чинаролистно лютиче
plants;Ranunculus polyanthemos;Многоцветно лютиче
plants;Ranunculus repens;Пълзящо лютиче
plants;Ranunculus rumelicus;Румелийско лютиче
plants;Ranunculus sardous;Сардинско лютиче
plants;Ranunculus sceleratus;Отровно лютиче
plants;Ranunculus sprunerianus;Шпрунерово лютиче
plants;Ranunculus trichophyllus;Нишколистно лютиче
plants;Reseda lutea;Жълта резеда
plants;Rhamnus cathartica;Слабителна зърника
plants;Rhamnus rhodopeus;Родопска зърника
plants;Rhamnus saxatilis;Скална зърника
plants;Rhinanthus angustifolius;Теснолистна клопачка
plants;Rhinanthus minor;Малка клопачка
plants;Rhinanthus rumelicus;Румелийска клопачка
plants;Rhinanthus wagneri;Вагнерова клопачка
plants;Rhodax alpestris;Алпийски родакс
plants;Rhodax canus;Белолистен родакс
plants;Rhus coriaria;Дъбилен шмак
plants;Ribes alpinum;Алпийско френско грозде
plants;Ribes petraeum;Скално френско грозде
plants;Rindera umbellata;Сенниковидна риндера
plants;Robinia pseudacacia;Бял салкъм
plants;Rorippa amphibia;Воден пореч
plants;Rorippa sylvestris;Горски пореч
plants;Rosa arvensis;Полска роза
plants;Rosa canina;Обикновена шипка
plants;Rosa gallica;Галска (френска) шипка
plants;Rosa glutinosa;Жлезиста шипка
plants;Rosa myriacantha;Бодлива шипка
plants;Rosa pendulina;Алпийска шипка
plants;Rosa pimpinellifolia;Анасонолистна шипка
plants;Rostraria cristata;Гребенеста рострария
plants;Rubia tinctorum;Багрилен брош
plants;Rubus caesius;Полска къпина
plants;Rubus hercynicus;Херцинска къпина
plants;Rubus hirtus;Влакнеста къпина
plants;Rubus idaeus;Малина
plants;Rubus saxatilis;Скална къпина
plants;Rubus thyrsiflorus;Пирамидалносъцветна къпина
plants;Rubus vepallidus;Вепалидова къпина
plants;Rumex acetosa;Киселец
plants;Rumex acetosella;Козя брада
plants;Rumex alpinus;Алпийски лапад
plants;Rumex arifоlius;Змиярников лапад
plants;Rumex conglomeratus;Кълбест лапад
plants;Rumex crispus;Къдрав лапад
plants;Rumex maritimus;Морски лапад
plants;Rumex palustris;Блатен лапад
plants;Rumex sanguineus;Кървавочервен лапад
plants;Rumex scutatus;Щитовиден лапад
plants;Rumex tenuifolius;Тънколистен
plants;Rumex tuberosus;Грудест лапад
plants;Ruppia maritima;Морска рупия
plants;Ruscus aculeatus;Бодлив залист
plants;Ruscus hypoglossum;Подезичест залист
plants;Sagina maritima;Приморска мъховка
plants;Sagina saginoides;Обикновена мъховка
plants;Sagittaria sagittifolia;Обикновен стрелолист
plants;Salicornia europaea;Европейска солянка
plants;Salicornia prostrata;Разперена солянка
plants;Salix alba;Бяла върба
plants;Salix appendiculata;Едролистна върба
plants;Salix caprea;Ива, козя върба
plants;Salix fragilis;Крехка върба
plants;Salix hastata;Копиелистна върба
plants;Salix herbacea;Тревиста върба
plants;Salix lapponum;Лапландска върба
plants;Salix purpurea;Червена върба , ракита
plants;Salix reticulata;Мрежолистна върба
plants;Salix silesiaca;Силезийска върба
plants;Salix triandra;Тритичинкова върба
plants;Salix waldsteiniana;Валдщайнова върба
plants;Salsola ruthenica;Руско вълмо
plants;Salsola soda;Содово вълмо
plants;Salvia aethiopis;Етиопски конски босилек
plants;Salvia amplexicaulis;Стъблообхващащ конски босилек
plants;Salvia argentea;Сребрист конски босилек
plants;Salvia austriaca;Австрийски конски босилек
plants;Salvia glutinosa;Жълт конски босилек
plants;Salvia nemorosa;Горски конски босилек
plants;Salvia nutans;Наведен конски босилек
plants;Salvia pratensis;Ливаден конски босилек
plants;Salvia ringens;Отворен конски босилек
plants;Salvia sclarea;Мускатен конски босилек
plants;Salvia tomentosa;Ердоцветен конски босилек
plants;Salvia verbenaca;Върбинков конски босилек
plants;Salvia virgata;Прътовиден конски босилек
plants;Salvia viridis;Зелен конски босилек
plants;Sambucus nigra;Черен бъз
plants;Sambucus racemosa;Червен бъз
plants;Samolus valerandi;Валерандова северница
plants;Sanguisorba minor;Дребна динка
plants;Sanguisorba officinalis;Лечебна динка
plants;Sanicula europaea;Европейска дебрянка
plants;Saponaria glutinosa;Лепкаво сапунче
plants;Satureja coerulea;Синя чубрица
plants;Satureja montana subsp. kitaibelii;Китайбелова чубрица
plants;Satureja pilosa;Влакнеста чубрица
plants;Saxifraga adscendens;Жлезиста каменоломка
plants;Saxifraga bryoides;Мъховидна каменоломка
plants;Saxifraga exarata;Набраздена каменоломка
plants;Saxifraga ferdinandi-coburgi;Македонска каменоломка
plants;Saxifraga graeca;Гръцка каменоломка
plants;Saxifraga luteoviridis;Зеленикавожълта каменоломка
plants;Saxifraga oppositifolia;Арктична каменоломка
plants;Saxifraga paniculata;Метлицовидна каменоломка
plants;Saxifraga pedemontana subsp. cymosa;Сенчеста каменоломка
plants;Saxifraga pseudosancta (= Saxifraga juniperifolia);Балканска каменоломка
plants;Saxifraga rocheliana;Рохелова каменоломка
plants;Saxifraga rotundifolia;Кръглолистна каменоломка
plants;Saxifraga sempervivum;Вечнозелена каменоломка
plants;Saxifraga spruneri;Шпрунерова каменоломка
plants;Saxifraga stellaris;Звездеста каменоломка
plants;Saxifraga stribrnyi;Стрибърниева каменоломка
plants;Saxifraga tridactylites;Трипръстна каменоломка
plants;Scabiosa argentea;Сребриста самогризка
plants;Scabiosa balcanica;Балканска самогризка
plants;Scabiosa columbaria;Гълъбова самогризка
plants;Scabiosa micrantha;Дребна самогризка
plants;Scabiosa ochroleuca;Жълтеникава самогризка
plants;Scabiosa rhodopensis;Родопска самогризка
plants;Scabiosa rotata;Кръглоглава самогризка
plants;Scabiosa sicula;Сицилийска самогризка
plants;Scabiosa triniifolia;Триниелистна самогризка
plants;Scabiosa webbiana;Вебиева самогризка
plants;Scandix australis;Южно чапличе
plants;Schoenus ferrugineus;Червеникав схьонус
plants;Schoenus nigricans;Черен схьонус
plants;Scilla autumnalis;Есенен синчец
plants;Scilla bifolia;Двулистен синчец
plants;Scirpus lacustris (= Schoenoplectus lacustris);Езерен камъш
plants;Scirpus litoralis (= Schoenoplectus litoralis);Крайбрежен камъш
plants;Scirpus sylvaticus;Горски камъш
plants;Scirpus triqueter (= Schoenoplectus triqueter);Триръбест камъш
plants;Scleranthus annuus;Едногодишна хрущялка
plants;Scleranthus neglectus;Планинска хрущялка
plants;Scleranthus perennis;Обикновена хрущялка
plants;Scleranthus polycarpos;Многоплодна хрущялка
plants;Scleranthus verticillatus;Дребноплодна хрущялка
plants;Scolymus hispanicus;Испански сколимус
plants;Scorzonera hispanica;Испански кокеш
plants;Scorzonera mollis;Мек кокеш
plants;Scorzonera rosea;Розов кокеш
plants;Scrophularia aestivalis;Лятно живениче
plants;Scrophularia canina;Кучешко живениче
plants;Scrophularia scopolii;Скополиево живениче
plants;Scrophularia umbrosa;Сенколюбиво живениче
plants;Scutellaria alpina;Алпийска превара
plants;Scutellaria altissima;Високостъблена превара
plants;Scutellaria columnae;Стълбовидна превара
plants;Scutellaria galericulata;Обикновена превара
plants;Scutellaria hastifolia;Копиелистна превара
plants;Scutellaria orientalis subsp. pinnatifida;Източна превара
plants;Secale sylvestre;Дива (горска) ръж
plants;Securigera securidaca;Секуригера
plants;Sedum acre;Лютива тлъстига
plants;Sedum album;Бяла тлъстига
plants;Sedum alpestre;Субалпийска тлъстига
plants;Sedum annuum;Едногодишна тлъстига
plants;Sedum atratum;Почервеняваща тлъстига
plants;Sedum cepaea;Лукова тлъстига
plants;Sedum dasyphyllum;Гъстолистна тлъстига
plants;Sedum grisebachii;Гризебахова тлъстига
plants;Sedum hispanicum;Испанска тлъстига
plants;Sedum maximum;Голяма тлъстига
plants;Sedum ochroleucum;Жълтеникава тлъстига
plants;Sedum tuberiferum;Грудеста тлъстига
plants;Sedum urvillei;Урвилеева тлъстига
plants;Selaginella helvetica;Швейцарски бронец
plants;Sempervivum erythraeum;Червеникав дебелец
plants;Sempervivum leucanthum;Белоцветен дебелец
plants;Sempervivum marmoreum;Мраморен дебелец
plants;Sempervivum tectorum;Покривен дебелец
plants;Sempervivum zeleborii;Целебориев дебелец
plants;Senecio carpathicus;Карпатски спореж
plants;Senecio glaberrimus;Гладък спореж
plants;Senecio jacobaea;Якобов спореж
plants;Senecio nemorensis;Дъбравен спореж
plants;Senecio paludosus;Блатен спореж
plants;Senecio pancicii;Панчичев спореж
plants;Senecio rupestris;Скален спореж
plants;Senecio vernalis;Пролетен спореж
plants;Serratula radiata;Лъчист сърпец
plants;Serratula tinctoria;Щитовиден сърпец
plants;Seseli rhodopeum;Родопски порезник
plants;Seseli rigidum;Бодлив порезник
plants;Seseli tortuosum;Извит порезник
plants;Sesleria alba;Бяла гъжва
plants;Sesleria caerulea;Гълъбова гъжва
plants;Sesleria coerulans;Гълъбовосиня гъжва
plants;Sesleria comosa;Планинска гъжва
plants;Sesleria korabensis;Корабска гъжва
plants;Sesleria latifolia;Широколистна гъжва
plants;Sesleria rigida subsp. achtarovii;Ахтарова гъжва
plants;Sherardia arvensis;Полски гръдник
plants;Sibbaldia procumbens;Разпростряна сибалдия
plants;Sicyos angulatus;Сициос
plants;Sideritis lanata;Вълнест миризлив бурен
plants;Sideritis montana;Планински миризлив бурен
plants;Sideritis scardica;Пирински чай
plants;Sieglingia decumbens;Полегнала тризъбка
plants;Silaum silaus;Силаум
plants;Silene acaulis;Безстъблено плюскавиче
plants;Silene ciliata;Ресничесто плюскавиче
plants;Silene compacta;Кичесто плюскавиче
plants;Silene conica;Конично плюскавиче
plants;Silene dioica;Двудомно плюскавиче
plants;Silene fabarioides;Мехуресто плюскавиче
plants;Silene flavescens;Жълтеникаво плюскавиче
plants;Silene frivaldszkyana;Фривалдскиево плюскавиче
plants;Silene gigantea;Гигантско плюскавиче
plants;Silene heuffelii;Бяло плюскавиче
plants;Silene lerchenfeldiana;Лерхенфелдово плюскавиче
plants;Silene otites;Ушно плюскавиче
plants;Silene pusilla;Лъчево плюскавиче
plants;Silene roemeri;Рьомерово плюскавиче
plants;Silene saxifraga;Скално плюскавиче
plants;Silene sendtneri;Сендтнерово плюскавиче
plants;Silene subconica;Младежко плюскавиче
plants;Silene thymifolia;Мащерколистно плюскавиче
plants;Silene viridiflora;Зеленоцветно плюскавиче
plants;Silene vulgaris;Обикновено плюскавиче
plants;Silene waldsteinii;Валдщайново плюскавиче
plants;Sison amomum;Сисон
plants;Sium latifolium;Широколистно ручейниче
plants;Smilax excelsa;Висока скрипка
plants;Smyrnium perfoliatum;Пронизанолистен трибел
plants;Smyrnium rotundifolium;Кръглолистен трибел
plants;Solanum dulcamara;Червено куче грозде
plants;Soldanella pusilla;Дребно крайснежно звънче
plants;Soldanella rhodopaea;Родопско крайснежно звънче
plants;Solidago virgaurea;Златен енчец
plants;Sorbus aria;Мукина
plants;Sorbus aucuparia;Офика
plants;Sorbus domestica;Скоруша
plants;Sorbus torminalis;Брекиня
plants;Sparagnium emersum;Неразклонена ежова главичка
plants;Sparganium erectum;Изправена ежова главичка
plants;Spergularia marina;Морска коленчица
plants;Spergularia media;Крилатосеменна коленчица
plants;Spiraea media;Средна спирея
plants;Spirodela polyrhiza;Многокоренова спиродела
plants;Stachys angustifolia;Теснолистен чистец
plants;Stachys atherocalyx;Наклонен чистец
plants;Stachys germanica;Германски чистец
plants;Stachys obliqua;Източен чистец
plants;Stachys palustris;Блатен чистец
plants;Stachys recta;Прав чистец
plants;Stachys sylvatica;Горски чистец
plants;Stachys thracica;Тракийски чистец
plants;Staphylea pinnata;Переста клокочка
plants;Stellaria graminea;Тревна звездица
plants;Stellaria holostea;Едроцветна звездица
plants;Stellaria media;Врабчови чревца, средна звездица
plants;Stellaria nemorum;Горска звездица
plants;Sternbergia colchiciflora;Мразовецоцветно есенниче
plants;Stipa capillata;Влакновидно коило
plants;Stipa epilosa;Голо коило
plants;Stipa joannis;Йоаново коило
plants;Stipa lessingiana;Лесингово коило
plants;Stipa pennata;Пересто коило
plants;Stipa pulcherrima;Красиво коило
plants;Stipa tirsa;Тирзово коило
plants;Streptopus amplexifolius;Листообхващащ стрептопус
plants;Suaeda altissima;Висока суеда
plants;Suaeda maritima;Морска суеда
plants;Succisa pratensis;Ливадно синьоглавче
plants;Symphyandra wanneri;Ванерово скалниче
plants;Symphytum officinale;Черен оман
plants;Symphytum tauricum;Кримско зарастличе
plants;Symphytum tuberosum;Грудесто зарастличе
plants;Syrenia cana (= Erysimum quadrangulum);Сирения
plants;Syringa vulgaris;Обикновен люляк
plants;Taeniatherum caput-medusae;Грапав тениатерум
plants;Tamarix ramosissima;Разклонена ракитовица
plants;Tamarix tetrandra;Четиритичинкова ракитовица
plants;Tamus communis;Обикновен брей
plants;Tanacetum corymbosum;Щитовидна вратига
plants;Tanacetum millefolium;Хилядолистна вратига
plants;Tanacetum vulgare;Обикновена вратига
plants;Taraxacum apenninum;Апенинско глухарче
plants;Taraxacum bessarabicum;Бесарабско глухарче
plants;Taraxacum bithynicum;Битинско глухарче
plants;Taraxacum officinale;Лечебно (обикновено) глухарче
plants;Teesdalia coronopifolia;Горуховидна теесдалия
plants;Telekia speciosa;Красив чернокос
plants;Teucrium chamaedrys;Обикновено подъбиче
plants;Teucrium montanum;Планинско подъбиче
plants;Teucrium polium;Бяло подъбиче
plants;Teucrium scordium;Чесъново подъбиче
plants;Teucruim montanum;Планинско подъбиче
plants;Thalictrum aquilegifolium;Кандилколистно обичниче
plants;Thalictrum flavum;Жълто обичниче
plants;Thalictrum lucidum;Теснолистно обичниче
plants;Thalictrum minus;Дребно обичниче
plants;Thalictrum simplex subsp. rhodopaeum;Просто обичниче
plants;Thesium bavarum;Баварски ленолист
plants;Thesium simplex;Български ленолист
plants;Thlaspi kovatsii;Ковачева попова лъжичка
plants;Thlaspi perfoliatum;Прободенолистна попова лъжичка
plants;Thlaspi praecox;Ранна попова лъжичка
plants;Thymus albanus;Албанска мащерка
plants;Thymus atticus;Атикска мащерка
plants;Thymus callieri subsp. urumovii;Калиерова мащерка
plants;Thymus glabrescens;Гола мащерка
plants;Thymus jankae;Янкиева мащерка
plants;Thymus longedentatus;Дъгозъбеста мащерка
plants;Thymus longicaulis;Дългостъблена мащерка
plants;Thymus moesiacus;Мизийска мащерка
plants;Thymus pannonicus;Панонска мащерка
plants;Thymus pulegioides;Планинска мащерка
plants;Thymus sibthorpii;Сибторпиева мащерка
plants;Thymus stojanovii;Стоянова мащерка
plants;Thymus striatus;Набраздена мащерка
plants;Thymus thracicus;Тракийска мащерка
plants;Thymus vandasii;Вандазиена мащерка
plants;Thymus zygioides;Турска мащерка
plants;Tilia cordata;Дребнолистна липа
plants;Tilia plathyphyllos;Ердолистна липа
plants;Tilia tomentosa;Сребролистна липа
plants;Torilis arvensis;Полски торилис
plants;Torilis japonica;Японски торилис
plants;Trachynia distachya (= Brachypodium distachyon);Двуредна трахиния
plants;Trachystemon orientalis;Източен лопох
plants;Tragopogon balcanicus;Балканска козя брада
plants;Tragopogon dubius;Съмнителна
plants;Tragopogon pratensis;Полска козя брада
plants;Tragus racemosus;Ягло
plants;Tremastelma palaestinum;Палестинска тремастелма
plants;Tribulus terrestris;Стелещи бабини зъби
plants;Trifolium alpestre;Алпийска детелина
plants;Trifolium angustifolium;Теснолистна детелина
plants;Trifolium arvense;Плевелна детелина
plants;Trifolium aureum;Златиста детелина
plants;Trifolium balansae;Гръклян
plants;Trifolium campestre;Полска детелина
plants;Trifolium cherleri;Херлерова детелина
plants;Trifolium diffusum;Разпереностъблена детелина
plants;Trifolium dubium;Съмнителна детелина
plants;Trifolium echinatum;Бодлива детелина
plants;Trifolium fragiferum subsp. bonannii;Крехка детелина
plants;Trifolium hirtum;Влакнеста детелина
plants;Trifolium hybridum;Хибридна детелина
plants;Trifolium incarnatum;Инкарнатна детелина
plants;Trifolium lappaceum;Репейна детелина
plants;Trifolium leucanthum;Беловлакнеста детелина
plants;Trifolium medium;Междинна детелина
plants;Trifolium michelianum;Мишелианова детелина
plants;Trifolium micranthum;Дребноцветна детелина
plants;Trifolium montanum;Планинска детелина
plants;Trifolium ochroleucon;Бледожълта детелина
plants;Trifolium pallescens;Белезникава детелина
plants;Trifolium patens;Жълта детелина
plants;Trifolium pignantii;Пинантиева детелина
plants;Trifolium pratense;Ливадна детелина
plants;Trifolium purpureum;Пурпурна детелина
plants;Trifolium repens;Бяла (пълзяща) детелина
plants;Trifolium resupinatum;Персийска детелина
plants;Trifolium scabrum;Грапава детелина
plants;Trifolium setiferum;Четинеста детелина
plants;Trifolium smyrnaeum;Смирненска детелина
plants;Trifolium spadiceum;Кестенява детелина
plants;Trifolium squarrosum;Разперенозъба детелина
plants;Trifolium striatum;Жилеста детелина
plants;Trifolium strictum;Изправена детелина
plants;Trifolium subterraneum;Подземна детелина
plants;Trifolium velenovskyi;Веленовскиева детелина
plants;Triglochin palustris;Блатен триостреник
plants;Trigonella gladiata;Мечоносен сминдух
plants;Trigonella monspeliaca;Монпелийски сминдух
plants;Trigonella procumbens;Пълзящ сминдух
plants;Trinia glauca;Синкава триниа
plants;Trinia ramosissima;Разклонена триниа
plants;Trisetum flavescens;Жълт заешки овес
plants;Turritis glabra;Обикновен козар
plants;Tussilago farfara;Подбел
plants;Typha angustifolia;Теснолистен папур
plants;Typha latifolia;Широколистен папур
plants;Typha laxmannii;Лаксманов папур
plants;Ulmus glabra;Планински бряст
plants;Ulmus laevis;Бял бряст
plants;Ulmus minor;Полски бряст
plants;Umbilicus erectus;Изправено виделче
plants;Umbilicus horizontalis;Хоризонтално виделче
plants;Umbilicus rupestris;Скално виделче
plants;Urtica dioica;Обикновена коприва
plants;Utricularia vulgaris;Обикновена мехурка
plants;Vaccinium myrtillus;Черна боровинка
plants;Vaccinium uliginosum;Синя боровинка
plants;Vaccinium vitis-idaea;Брусница, червена боровинка
plants;Valeriana montana;Планинска дилянка
plants;Valeriana officinalis;Лечебна дилянка
plants;Valeriana tripteris;Трикрила дилянка
plants;Valerianella carinata;Ръбеста мотовилка
plants;Valerianella coronata;Увенчана мотовилка
plants;Valerianella dentata;Зъбчеста мотовилка
plants;Valerianella discoidea;Дископлодна мотовилка
plants;Valerianella pumila;Малка мотовилка
plants;Valerianella turgida;Издута мотовилка
plants;Velezia rigida;Твърда велеция
plants;Veratrum album subsp. lobelianum;Бяла чемерика
plants;Verbascum abietinum;Горски лопен
plants;Verbascum banaticum;Банатски лопен
plants;Verbascum blattaria;Обикновен лопен
plants;Verbascum chaixii;Шексиев лопен
plants;Verbascum humile;Нежен лопен
plants;Verbascum longifolium subsp. pannosum;Дълголистен лопен
plants;Verbascum nobile;Благороден лопен
plants;Verbascum orientale;Източен лопен
plants;Verbascum phoeniceum;Финикийски лопен
plants;Verbascum roripifolium;Поречолистен лопен
plants;Verbascum speciosum;Прекрасен лопен
plants;Verbena officinalis;Лечебна върбинка
plants;Veronica anagallis-aquatica;Водно великденче
plants;Veronica austriaca;Австрийско великденче
plants;Veronica beccabunga;Крайпоточно великденче
plants;Veronica bellidioides;Паричковидно великденче
plants;Veronica chamaedrys;Ниско великденче
plants;Veronica dillenii;Дилениево великденче
plants;Veronica fruticans;Храстово великденче
plants;Veronica hederifolia;Бръшлянолистно великденче
plants;Veronica kellererii;Келерерово великденче
plants;Veronica officinalis;Лечебно великденче
plants;Veronica praecox;Ранно великденче
plants;Veronica prostrata;Полегнало великденче
plants;Veronica rhodopaea;Родопско великденче
plants;Veronica serpyllifolia;Мащерколистно великденче
plants;Veronica teucrium;Подъбичово великденче
plants;Veronica triphyllos;Трилистно великденче
plants;Veronica urticifolia;Коприволистно великденче
plants;Veronica verna;Пролетно великденче
plants;Viburnum lantana;Черна калина
plants;Viburnum opulus;Червена калина
plants;Vicia angustifolia;Теснолистна глушина
plants;Vicia bithynica;Битинска глушина
plants;Vicia cracca;Птича глушина
plants;Vicia dumetorum;Храсталачна глушина
plants;Vicia laeta;Южна глушина
plants;Vicia lathyroides;Секирчева глушина
plants;Vicia melanops;Трицветна глушина
plants;Vicia pannonica;Панонска глушина
plants;Vicia pisiformis;Грахова глушина
plants;Vicia striata;Набраздена глушина
plants;Vicia villosa;Вълнеста глушина
plants;Vinca herbacea;Тревист зимзелен глушина
plants;Vinca minor;Дребен зимзелен
plants;Vincetoxicum hirundinaria;Лечебен винцетоксикум
plants;Viola aetolica;Етолийска теменуга
plants;Viola alba;Бяла теменуга
plants;Viola biflora;Двуцветна теменуга
plants;Viola canina;Кучешка теменуга
plants;Viola dacica;Дакийска теменуга
plants;Viola hirta;Влакнеста теменуга
plants;Viola jordanii;Жорданова теменуга
plants;Viola kitaibeliana;Китайбелова теменуга
plants;Viola mirabilis;Удивителна теменуга
plants;Viola odorata;Миризлива теменуга
plants;Viola reichenbachiana;Райхенбахова теменуга
plants;Viola rhodopeia;Родопска теменуга
plants;Viola riviniana;Горска теменуга
plants;Viola suavis;Приятна теменуга
plants;Viola tricolor;Трицветна теменуга
