OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
4789;Свиленград;Svilengrad;Чернодъб;село;Chernodab;village;Хасково;Haskovo;81116;26.27887;41.765633;ЧЕРНОДЪБСВИЛЕНГРАД
4793;Хасково;Haskovo;Конуш;село;Konush;village;Хасково;Haskovo;38399;25.516143;41.861108;КОНУШХАСКОВО
4794;Хасково;Haskovo;Войводово;село;Voyvodovo;village;Хасково;Haskovo;11867;25.547183;41.858757;ВОЙВОДОВОХАСКОВО
4796;Хасково;Haskovo;Мандра;село;Mandra;village;Хасково;Haskovo;47055;25.505729;41.817622;МАНДРАХАСКОВО
4797;Хасково;Haskovo;ДолноГолеманци;село;DolnoGolemantsi;village;Хасково;Haskovo;24949;25.502045;41.791516;ДОЛНОГОЛЕМАНЦИХАСКОВО
4799;Стамболово;Stambolovo;Цареваполяна;село;Tsarevapolyana;village;Хасково;Haskovo;78094;25.602222;41.783215;ЦАРЕВАПОЛЯНАСТАМБОЛОВО
4801;Хасково;Haskovo;Книжовник;село;Knizhovnik;village;Хасково;Haskovo;37383;25.605894;41.826771;КНИЖОВНИКХАСКОВО
4805;Стамболово;Stambolovo;Стамболово;село;Stambolovo;village;Хасково;Haskovo;68727;25.644823;41.775242;СТАМБОЛОВОСТАМБОЛОВО
4807;Стамболово;Stambolovo;Маджари;село;Madzhari;village;Хасково;Haskovo;46070;25.705384;41.66984;МАДЖАРИСТАМБОЛОВО
4808;Стамболово;Stambolovo;Зимовина;село;Zimovina;village;Хасково;Haskovo;30908;25.66187;41.705388;ЗИМОВИНАСТАМБОЛОВО
4809;Стамболово;Stambolovo;Лясковец;село;Lyaskovets;village;Хасково;Haskovo;44803;25.697928;41.71269;ЛЯСКОВЕЦСТАМБОЛОВО
4810;Стамболово;Stambolovo;Кладенец;село;Kladenets;village;Хасково;Haskovo;37126;25.675208;41.737795;КЛАДЕНЕЦСТАМБОЛОВО
4811;Стамболово;Stambolovo;Гледка;село;Gledka;village;Хасково;Haskovo;15093;25.65995;41.776508;ГЛЕДКАСТАМБОЛОВО
4812;Стамболово;Stambolovo;Кралево;село;Kralevo;village;Хасково;Haskovo;39400;25.677707;41.781307;КРАЛЕВОСТАМБОЛОВО
4819;Хасково;Haskovo;Любеново;село;Lyubenovo;village;Хасково;Haskovo;44553;25.742187;41.900733;ЛЮБЕНОВОХАСКОВО
