IME;UTMname;UTMfullNam;Index_1km;UTMNameFul;Status;X_1;Y_1;X_2;Y_2;X_3;Y_3;X_4;Y_4
47;FM;FM47;9;FM4709;незаети площадки;22.7094738;42.25946736;22.70923063;42.25046511;22.6971136;42.25064509;22.69735505;42.2596474
47;FM;FM47;12;FM4712;незаети площадки;22.71988054;42.19627037;22.71963644;42.18726806;22.70753155;42.18744893;22.70777394;42.19645129
47;FM;FM47;36;FM4736;незаети площадки;22.74508472;42.23191328;22.74483672;42.22291116;22.73272519;42.22309481;22.73297147;42.23209699
47;FM;FM47;62;FM4762;незаети площадки;22.78041188;42.19534661;22.78015919;42.1863446;22.76805486;42.18653184;22.76830584;42.19553391
48;FM;FM48;25;FM4825;незаети площадки;22.73519303;42.31311594;22.73494574;42.30411389;22.72281859;42.30429678;22.72306415;42.31329888
48;FM;FM48;30;FM4830;незаети площадки;22.74607784;42.26792163;22.74582939;42.25891957;22.73371097;42.25910344;22.7339577;42.26810556
48;FM;FM48;36;FM4836;незаети площадки;22.74757092;42.32193368;22.74732179;42.31293171;22.73519303;42.31311594;22.73544043;42.32211797
48;FM;FM48;59;FM4859;незаети площадки;22.77259001;42.34856674;22.77233708;42.33956494;22.76020336;42.3397519;22.76045457;42.34875377
48;FM;FM48;97;FM4897;незаети площадки;22.82061105;42.32980266;22.82035144;42.32080106;22.80822164;42.32099304;22.80847953;42.3299947
49;FM;FM49;20;FM4920;незаети площадки;22.73643119;42.35812593;22.73618333;42.34912396;22.72404754;42.34930713;22.72429367;42.35830916
49;FM;FM49;32;FM4932;незаети площадки;22.74906812;42.37594519;22.7488183;42.36694331;22.73667916;42.36712788;22.73692725;42.37612982
49;FM;FM49;60;FM4960;незаети площадки;22.78498012;42.35738017;22.78472534;42.34837844;22.77259001;42.34856674;22.77284306;42.35756854
49;FM;FM49;68;FM4968;незаети площадки;22.78702257;42.42939348;22.78676685;42.42039187;22.77461766;42.42058065;22.77487164;42.42958232
49;FM;FM49;93;FM4993;незаети площадки;22.82217123;42.38381194;22.8219109;42.37481043;22.80977073;42.37500277;22.81002932;42.38400434
53;FM;FM53;99;FM5399;незаети площадки;22.9287708;41.89574725;22.92849992;41.88674552;22.91645332;41.88694726;22.91672251;41.89594905
54;FM;FM54;58;FM5458;незаети площадки;22.88295945;41.97756397;22.88269424;41.96856213;22.87063192;41.96875938;22.87089544;41.97776128
54;FM;FM54;65;FM5465;незаети площадки;22.894223;41.95036003;22.89395645;41.94135821;22.88189934;41.94155653;22.88216419;41.95055841
54;FM;FM54;81;FM5481;незаети площадки;22.91726126;41.91395258;22.91699183;41.90495083;22.90494173;41.90515143;22.90520947;41.91415325
54;FM;FM54;86;FM5486;незаети площадки;22.91861029;41.95896114;22.91834024;41.94995946;22.90628168;41.95016038;22.90655004;41.95916212
54;FM;FM54;90;FM5490;незаети площадки;22.9290418;41.90474896;22.9287708;41.89574725;22.91672251;41.89594905;22.91699183;41.90495083
55;FM;FM55;37;FM5537;незаети площадки;22.86119302;42.05897426;22.86093013;42.04997244;22.84885227;42.0501677;22.84911346;42.05916958
55;FM;FM55;49;FM5549;незаети площадки;22.87380202;42.07678115;22.87353719;42.06777942;22.86145604;42.06797607;22.86171917;42.07697786
55;FM;FM55;60;FM5560;незаети площадки;22.89555752;41.9953689;22.89529037;41.98636716;22.88322478;41.98656579;22.88349023;41.9955676
55;FM;FM55;70;FM5570;незаети площадки;22.90762469;41.99516894;22.90735584;41.98616726;22.89529037;41.98636716;22.89555752;41.9953689
55;FM;FM55;97;FM5597;незаети площадки;22.93366785;42.05777566;22.93339473;42.04877421;22.9213176;42.04897709;22.92158902;42.0579786
56;FM;FM56;21;FM5621;незаети площадки;22.85015941;42.09517696;22.84989775;42.08617514;22.83781295;42.08636937;22.83807291;42.09537125
56;FM;FM56;60;FM5660;незаети площадки;22.89823573;42.08538549;22.89796736;42.0763839;22.88588475;42.07658316;22.88615142;42.08558481
56;FM;FM56;71;FM5671;незаети площадки;22.91059013;42.09418641;22.91031993;42.0851849;22.89823573;42.08538549;22.89850423;42.09438706
56;FM;FM56;86;FM5686;незаети площадки;22.92403731;42.13899148;22.92376478;42.12999011;22.91167217;42.13019229;22.91194299;42.13919372
56;FM;FM56;96;FM5696;незаети площадки;22.9361315;42.13878796;22.93585726;42.12978666;22.92376478;42.12999011;22.92403731;42.13899148
57;FM;FM57;25;FM5725;незаети площадки;22.85383533;42.22120082;22.85357198;42.21219922;22.84146322;42.21239431;22.84172485;42.22139597
57;FM;FM57;27;FM5727;незаети площадки;22.85436238;42.23920398;22.8540988;42.23020241;22.84198659;42.23039762;22.84224846;42.23939926
57;FM;FM57;44;FM5744;незаети площадки;22.87778916;42.21180521;22.8775225;42.20280372;22.86541569;42.2030013;22.86568063;42.21200285
57;FM;FM57;69;FM5769;незаети площадки;22.90335816;42.25641271;22.90308745;42.24741142;22.8909723;42.24761187;22.89124129;42.25661322
57;FM;FM57;96;FM5796;незаети площадки;22.9388808;42.22880015;22.93860531;42.219799;22.92649568;42.22000309;22.92676946;42.22900431
58;FM;FM58;11;FM5811;незаети площадки;22.84329713;42.27540564;22.84303478;42.26640406;22.83091557;42.26659824;22.8311762;42.27559987
58;FM;FM58;40;FM5840;незаети площадки;22.87939168;42.26581386;22.87912429;42.25681245;22.86700716;42.25701041;22.86727283;42.26601187
58;FM;FM58;69;FM5869;незаети площадки;22.90607211;42.34642478;22.90580015;42.33742364;22.89366775;42.33762472;22.89393798;42.34662592
58;FM;FM58;71;FM5871;незаети площадки;22.91602016;42.27421333;22.91574747;42.26521213;22.903629;42.26541399;22.90389996;42.27441525
58;FM;FM58;80;FM5880;незаети площадки;22.92786582;42.265009;22.92759154;42.25600785;22.91547492;42.25621092;22.91574747;42.26521213
59;FM;FM59;17;FM5917;незаети площадки;22.84751105;42.41942868;22.84724677;42.41042735;22.83509991;42.4106225;22.83536245;42.41962389
59;FM;FM59;40;FM5940;незаети площадки;22.88207234;42.35582703;22.88180372;42.34682578;22.86966935;42.34702435;22.86993624;42.35602566
59;FM;FM59;67;FM5967;незаети площадки;22.90825222;42.41843331;22.90797927;42.4094323;22.89583302;42.40963388;22.89610423;42.41863496
59;FM;FM59;87;FM5987;незаети площадки;22.93254782;42.41802616;22.9322714;42.40902528;22.9201254;42.40922943;22.92040008;42.41823038
59;FM;FM59;91;FM5991;незаети площадки;22.9430284;42.3638155;22.94275101;42.35481459;22.93061553;42.35501964;22.93089119;42.36402062
